x,y,heading,curvature,speed
16.5161,25.0557,2.732,0.143174,5.234
16.1895,25.1879,2.7815,0.137482,5.3
15.8527,25.3055,2.8293,0.130667,5.387
15.5057,25.4087,2.8753,0.122941,5.493
15.1489,25.4975,2.9189,0.114411,5.617
14.7827,25.5724,2.96,0.105407,5.758
14.4077,25.6336,2.9982,0.096212,5.917
14.0246,25.6818,3.0336,0.087048,6.09
13.6338,25.7175,3.066,0.07809,6.277
13.2361,25.7416,3.0953,0.069467,6.477
12.8321,25.7547,3.1217,0.061271,6.687
12.4224,25.7577,-3.138,0.053559,6.907
12.0075,25.7517,-3.1173,0.046362,7.0
11.5881,25.7375,-3.0992,0.039687,7.0
11.1645,25.716,-3.0837,0.033522,7.0
10.7375,25.6882,-3.0706,0.02784,7.0
10.3073,25.655,-3.0598,0.022603,7.0
9.8747,25.6174,-3.051,0.017768,7.0
9.44,25.5763,-3.0442,0.013288,7.0
9.0038,25.5324,-3.0393,0.009116,7.0
8.5666,25.4866,-3.0362,0.005209,7.0
8.1289,25.4398,-3.0347,0.001524,7.0
7.6913,25.3927,-3.0348,0.001938,7.0
7.2542,25.346,-3.0364,0.005168,7.0
6.8182,25.3005,-3.0393,0.008152,7.0
6.3839,25.2567,-3.0434,0.010868,7.0
5.9517,25.2152,-3.0487,0.013334,7.0
5.5224,25.1764,-3.0549,0.015561,7.0
5.0964,25.1408,-3.062,0.017564,7.0
4.6742,25.1087,-3.0698,0.019298,7.0
4.256,25.0803,-3.0781,0.020691,7.0
3.8414,25.0558,-3.0869,0.021692,7.0
3.4301,25.0351,-3.096,0.022268,7.0
3.0221,25.0184,-3.1051,0.022397,7.0
2.6169,25.0055,-3.1141,0.022092,7.0
2.2145,24.9962,-3.1229,0.021377,7.0
1.8145,24.9905,-3.1312,0.020285,7.0
1.4169,24.988,-3.139,0.018861,7.0
1.0213,24.9884,3.137,0.017151,7.0
0.6276,24.9915,3.1307,0.015207,7.0
0.2356,24.997,3.1251,0.013083,7.0
-0.155,25.0044,3.1204,0.010829,7.0
-0.5444,25.0135,3.1167,0.008494,7.0
-0.9327,25.0238,3.1138,0.006126,7.0
-1.3203,25.035,3.1119,0.003764,7.0
-1.7072,25.0468,3.1109,0.001446,7.0
-2.0939,25.0588,3.1108,0.000786,7.0
-2.4804,25.0706,3.1115,0.00289,7.0
-2.867,25.082,3.113,0.004828,7.0
-3.2539,25.0928,3.1152,0.006569,7.0
-3.6413,25.1025,3.118,0.008094,7.0
-4.0295,25.111,3.1214,0.00939,7.0
-4.4186,25.1182,3.1253,0.01044,7.0
-4.8088,25.1237,3.1295,0.011238,7.0
-5.2005,25.1276,3.134,0.011785,7.0
-5.5938,25.1297,3.1387,0.012086,7.0
-5.9888,25.1298,-3.1397,0.01216,7.0
-6.3855,25.1281,-3.1349,0.012031,7.0
-6.7839,25.1245,-3.1301,0.01171,7.0
-7.1839,25.119,-3.1256,0.011202,7.0
-7.5854,25.1116,-3.1212,0.010523,7.0
-7.9882,25.1026,-3.1171,0.009692,7.0
-8.3924,25.0919,-3.1134,0.008727,7.0
-8.7977,25.0797,-3.1101,0.007648,7.0
-9.2043,25.0663,-3.1072,0.006475,7.0
-9.6118,25.0517,-3.1048,0.005225,7.0
-10.0204,25.0363,-3.103,0.003917,7.0
-10.4298,25.0201,-3.1016,0.002569,7.0
-10.8401,25.0035,-3.1009,0.001197,7.0
-11.2511,24.9866,-3.1006,0.000179,7.0
-11.6627,24.9698,-3.101,0.001535,7.0
-12.0749,24.9532,-3.1019,0.002848,7.0
-12.4876,24.937,-3.1033,0.00409,7.0
-12.9007,24.9216,-3.1053,0.005235,7.0
-13.3142,24.907,-3.1076,0.006254,7.0
-13.7278,24.8935,-3.1104,0.007113,7.0
-14.1417,24.8812,-3.1135,0.007775,7.0
-14.5556,24.8702,-3.1168,0.008201,7.0
-14.9694,24.8606,-3.1202,0.008347,7.0
-15.3832,24.8525,-3.1236,0.00817,7.0
-15.7968,24.8458,-3.1269,0.007627,7.0
-16.2101,24.8404,-3.1299,0.006688,7.0
-16.623,24.8361,-3.1323,0.005312,7.0
-17.0354,24.8327,-3.1341,0.003455,7.0
-17.4473,24.83,-3.1351,0.001076,7.0
-17.8585,24.8274,-3.1349,0.001832,7.0
-18.2687,24.8245,-3.1335,0.005259,7.0
-18.6778,24.8207,-3.1305,0.009168,7.0
-19.0855,24.8154,-3.1259,0.013518,7.0
-19.4917,24.808,-3.1194,0.018315,7.0
-19.8962,24.7975,-3.111,0.023544,7.0
-20.2988,24.7832,-3.1004,0.029184,7.0
-20.6992,24.7644,-3.0875,0.035204,7.0
-21.0974,24.74,-3.0722,0.041563,7.0
-21.4931,24.7092,-3.0544,0.048206,7.0
-21.886,24.671,-3.034,0.055062,7.0
-22.2761,24.6246,-3.011,0.062042,7.0
-22.6629,24.569,-2.9854,0.069038,6.996
-23.0464,24.5032,-2.9572,0.075916,6.809
-23.4261,24.4266,-2.9265,0.082521,6.642
-23.8019,24.3382,-2.8934,0.088676,6.497
-24.1734,24.2372,-2.8582,0.094183,6.375
-24.5404,24.1231,-2.8211,0.09883,6.279
-24.9027,23.9951,-2.7824,0.102395,6.212
-25.26,23.8529,-2.7425,0.10466,6.16
-25.6123,23.6959,-2.702,0.105419,6.16
-25.9596,23.5239,-2.6613,0.104499,6.16
-26.3021,23.3365,-2.6209,0.101872,6.201
-26.64,23.1337,-2.5815,0.097782,6.265
-26.9741,22.9152,-2.5436,0.092257,6.354
-27.3048,22.6808,-2.5075,0.085701,6.469
-27.6325,22.431,-2.4736,0.078714,6.609
-27.9568,22.1665,-2.4422,0.071508,6.769
-28.2775,21.8884,-2.4135,0.063923,6.946
-28.5945,21.598,-2.3878,0.056003,7.0
-28.9077,21.2968,-2.3653,0.047803,7.0
-29.2171,20.9866,-2.3462,0.039331,7.0
-29.523,20.6691,-2.3309,0.030553,7.0
-29.8259,20.3462,-2.3194,0.021378,7.0
-30.1261,20.0199,-2.3121,0.011656,7.0
-30.4245,19.6923,-2.3092,0.001454,7.0
-30.7218,19.3654,-2.3109,0.00916,7.0
-31.0187,19.0416,-2.3173,0.020117,7.0
-31.3162,18.7228,-2.3285,0.031371,7.0
-31.6149,18.4113,-2.3445,0.043111,7.0
-31.9156,18.1092,-2.3654,0.055452,6.676
-32.2188,17.8185,-2.3914,0.068485,6.349
-32.5249,17.5414,-2.4224,0.082266,6.04
-32.8342,17.2797,-2.4586,0.096803,5.752
-33.1469,17.0353,-2.5,0.112033,5.487
-33.4629,16.81,-2.5464,0.127789,5.245
-33.782,16.6054,-2.5979,0.14375,5.03
-34.1039,16.4225,-2.6539,0.159369,4.844
-34.4284,16.2625,-2.7143,0.17393,4.685
-34.7553,16.1259,-2.7783,0.187013,4.55
-35.085,16.0129,-2.8455,0.19706,4.492
-35.4185,15.9236,-2.9148,0.202727,4.425
-35.7566,15.8579,-2.9851,0.204329,4.425
-36.0995,15.8161,-3.0556,0.202883,4.425
-36.4472,15.7983,-3.1255,0.198423,4.471
-36.799,15.8048,3.089,0.191485,4.522
-37.1539,15.8356,3.0223,0.182861,4.602
-37.5111,15.8902,2.9579,0.173215,4.699
-37.8692,15.9684,2.8963,0.163084,4.812
-38.2273,16.0695,2.8375,0.152887,4.938
-38.584,16.1927,2.7817,0.142943,5.074
-38.9383,16.3371,2.7289,0.133491,5.22
-39.2893,16.5015,2.6789,0.1247,5.372
-39.6358,16.685,2.6316,0.116678,5.529
-39.9771,16.8863,2.5868,0.109486,5.689
-40.3124,17.1042,2.5444,0.103142,5.85
-40.6409,17.3377,2.5039,0.097628,6.01
-40.9618,17.5854,2.4654,0.092899,6.167
-41.2746,17.8462,2.4284,0.088886,6.32
-41.5786,18.119,2.3928,0.085504,6.467
-41.8733,18.4026,2.3584,0.082694,6.607
-42.158,18.6959,2.3251,0.080459,6.739
-42.4325,18.9977,2.2927,0.078594,6.861
-42.6963,19.3073,2.2611,0.0766,6.973
-42.9499,19.6243,2.2305,0.074125,7.0
